1 epoch, LR 0.001000, LOSS 8.914757, ACC 6.58%, EER 10.86%, bestEER 10.86%
2 epoch, LR 0.000970, LOSS 5.756495, ACC 21.47%, EER 8.26%, bestEER 8.26%
3 epoch, LR 0.000941, LOSS 4.910169, ACC 28.98%, EER 6.94%, bestEER 6.94%
4 epoch, LR 0.000913, LOSS 4.444852, ACC 33.86%, EER 7.11%, bestEER 6.94%
5 epoch, LR 0.000885, LOSS 4.121824, ACC 37.50%, EER 6.99%, bestEER 6.94%
6 epoch, LR 0.000859, LOSS 3.878126, ACC 40.43%, EER 7.28%, bestEER 6.94%
7 epoch, LR 0.000833, LOSS 3.686193, ACC 42.83%, EER 6.89%, bestEER 6.89%
8 epoch, LR 0.000808, LOSS 3.522700, ACC 44.83%, EER 6.13%, bestEER 6.13%
9 epoch, LR 0.000784, LOSS 3.381258, ACC 46.56%, EER 5.61%, bestEER 5.61%
10 epoch, LR 0.000760, LOSS 3.256037, ACC 48.24%, EER 5.89%, bestEER 5.61%
11 epoch, LR 0.000737, LOSS 3.143818, ACC 49.67%, EER 5.16%, bestEER 5.16%
12 epoch, LR 0.000715, LOSS 3.053472, ACC 50.92%, EER 5.52%, bestEER 5.16%
13 epoch, LR 0.000694, LOSS 2.959415, ACC 52.11%, EER 4.92%, bestEER 4.92%
14 epoch, LR 0.000673, LOSS 2.875891, ACC 53.21%, EER 5.09%, bestEER 4.92%
15 epoch, LR 0.000653, LOSS 2.801078, ACC 54.26%, EER 5.29%, bestEER 4.92%
16 epoch, LR 0.000633, LOSS 2.727297, ACC 55.20%, EER 5.26%, bestEER 4.92%
17 epoch, LR 0.000614, LOSS 2.661866, ACC 56.12%, EER 4.91%, bestEER 4.91%
18 epoch, LR 0.000596, LOSS 2.599221, ACC 56.95%, EER 4.70%, bestEER 4.70%
19 epoch, LR 0.000578, LOSS 2.540139, ACC 57.77%, EER 4.57%, bestEER 4.57%
20 epoch, LR 0.000561, LOSS 2.480227, ACC 58.56%, EER 4.61%, bestEER 4.57%
21 epoch, LR 0.000544, LOSS 2.433310, ACC 59.21%, EER 3.90%, bestEER 3.90%
22 epoch, LR 0.000527, LOSS 2.379097, ACC 60.04%, EER 4.41%, bestEER 3.90%
23 epoch, LR 0.000512, LOSS 2.333181, ACC 60.71%, EER 4.90%, bestEER 3.90%
24 epoch, LR 0.000496, LOSS 2.281821, ACC 61.41%, EER 4.50%, bestEER 3.90%
25 epoch, LR 0.000481, LOSS 2.245548, ACC 61.92%, EER 4.34%, bestEER 3.90%
26 epoch, LR 0.000467, LOSS 2.199068, ACC 62.57%, EER 5.73%, bestEER 3.90%
27 epoch, LR 0.000453, LOSS 2.156985, ACC 63.25%, EER 4.79%, bestEER 3.90%
28 epoch, LR 0.000439, LOSS 2.115820, ACC 63.78%, EER 4.19%, bestEER 3.90%
29 epoch, LR 0.000426, LOSS 2.078554, ACC 64.39%, EER 3.89%, bestEER 3.89%
30 epoch, LR 0.000413, LOSS 2.042967, ACC 64.85%, EER 4.27%, bestEER 3.89%
31 epoch, LR 0.000401, LOSS 2.003233, ACC 65.48%, EER 4.20%, bestEER 3.89%
32 epoch, LR 0.000389, LOSS 1.971492, ACC 65.81%, EER 4.05%, bestEER 3.89%
33 epoch, LR 0.000377, LOSS 1.940064, ACC 66.32%, EER 3.59%, bestEER 3.59%
34 epoch, LR 0.000366, LOSS 1.913806, ACC 66.76%, EER 4.71%, bestEER 3.59%
35 epoch, LR 0.000355, LOSS 1.879034, ACC 67.28%, EER 3.97%, bestEER 3.59%
36 epoch, LR 0.000344, LOSS 1.847923, ACC 67.83%, EER 3.63%, bestEER 3.59%
37 epoch, LR 0.000334, LOSS 1.820648, ACC 68.17%, EER 4.26%, bestEER 3.59%
38 epoch, LR 0.000324, LOSS 1.790160, ACC 68.64%, EER 2.99%, bestEER 2.99%
39 epoch, LR 0.000314, LOSS 1.764692, ACC 69.03%, EER 4.67%, bestEER 2.99%
40 epoch, LR 0.000305, LOSS 1.735816, ACC 69.43%, EER 4.06%, bestEER 2.99%
41 epoch, LR 0.000296, LOSS 1.713285, ACC 69.83%, EER 3.81%, bestEER 2.99%
42 epoch, LR 0.000287, LOSS 1.686332, ACC 70.23%, EER 3.66%, bestEER 2.99%
43 epoch, LR 0.000278, LOSS 1.667148, ACC 70.57%, EER 3.73%, bestEER 2.99%
44 epoch, LR 0.000270, LOSS 1.637517, ACC 70.97%, EER 3.64%, bestEER 2.99%
45 epoch, LR 0.000262, LOSS 1.620540, ACC 71.30%, EER 4.14%, bestEER 2.99%
46 epoch, LR 0.000254, LOSS 1.595506, ACC 71.70%, EER 3.73%, bestEER 2.99%
